EntrezId,Gene,HS,NH,DS,PT,Cluster
1,A1BG,0.500605326,0.495980543,0.186811802,-0.389511169,1
29974,A1CF,-0.204209984,-0.184338527,-0.211489642,0.603856067,2
2,A2M,0.434027214,-0.06823848,0.061973324,0.067475848,1
144568,A2ML1,0.693492959,0.187593162,0.276086596,0.407558083,1
51146,A4GNT,-1.241678032,-1.564563604,-1.835569042,-0.862139299,2
8086,AAAS,-0.572684724,-0.084096087,-0.13394209,0.690751316,2
13,AADAC,1.079730599,1.583083679,1.960250496,0.167246923,1
344752,AADACL2,-0.754643192,-0.735441068,-0.755967136,0.00637031,2
126767,AADACL3,0.999683565,1.020581319,1.265870393,0.146882638,1
343066,AADACL4,1.636730153,1.65868493,0.825435499,-0.230542898,1
51166,AADAT,-0.649459944,-0.633826017,-0.651569573,0.056846772,2
195827,AAED1,1.557538367,-0.105020732,0.719642503,0.756765624,1
79719,AAGAB,-0.72078612,-0.700768534,-0.711592388,0.585681565,2
22848,AAK1,0.283978931,-1.022623682,-1.069568384,-0.267235829,2
28971,AAMDC,0.651138522,0.690873863,0.684520607,0.678434764,1
14,AAMP,0.672823839,0.682769702,0.644206194,-1.421023329,1
15,AANAT,0.015773839,0.017139207,-0.044598181,0.291762195,1
25980,AAR2,0.070704387,0.048855169,0.112977386,0.163157696,1
57505,AARS2,-0.689012707,1.11528879,0.569416607,0.540105704,1
60496,AASDHPPT,-0.516161512,-0.49757316,-0.505571103,0.301193929,2
10157,AASS,-0.936971706,-0.429487274,-0.934267292,0.381532413,2
26574,AATF,-0.983460246,-0.96481427,-0.140842385,0.487058639,2
18,ABAT,1.715703961,2.006483668,0.876295766,-0.506345596,1
19,ABCA1,0.436594088,0.598013559,0.436044319,-0.68543768,1
21,ABCA3,-1.351981155,-1.333073894,-1.252109353,-2.145842887,2
24,ABCA4,-0.125573444,-0.064542316,-0.377808514,-0.238148167,2
23461,ABCA5,-0.015810703,-0.36063911,0.086061918,0.77060698,2
23460,ABCA6,-0.000867968,-0.187342491,-0.519464752,1.379266233,2
10351,ABCA8,0.404802686,0.132177142,0.074051182,-0.473784729,1
10350,ABCA9,1.26932503,1.282165789,1.104015779,-0.15633096,1
5243,ABCB1,-0.613837156,-0.104145823,0.741075982,-0.846268727,1
8647,ABCB11,-0.024165397,0.072760091,0.269806756,-1.005138371,1
5244,ABCB4,-0.390588659,0.116085093,-1.24515911,0.02875988,2
340273,ABCB5,0.784886792,0.987803802,1.158779466,-0.178888691,1
10058,ABCB6,-0.742102156,-0.726833737,-0.484401917,-0.968028071,2
11194,ABCB8,-0.231612274,-0.227594993,-0.342750801,0.013578701,2
23457,ABCB9,-2.546323368,-2.530306786,-2.589671931,-2.316005545,2
89845,ABCC10,1.010152319,0.829926318,1.012617931,0.607636034,1
85320,ABCC11,-0.958924558,-0.844497607,-0.875870222,0.528601382,2
94160,ABCC12,0.496403763,0.354895973,0.5427549,0.121700799,1
8714,ABCC3,0.602460133,0.481606532,0.907961225,0.379575893,1
10257,ABCC4,-0.82423465,-0.949613972,-0.978763651,-2.307242781,2
6833,ABCC8,-2.092062462,-2.789284681,-2.851573984,-2.634788598,2
10060,ABCC9,-1.07608346,-0.573056422,-0.590800009,-1.113272701,2
225,ABCD2,-0.687201507,-0.670178611,-0.677172036,0.164317107,2
5825,ABCD3,0.260449619,0.276010638,0.267105571,-1.707043016,1
5826,ABCD4,-0.237168939,-0.216775164,-0.209804361,0.971651815,2
10061,ABCF2,-0.442817677,0.411868274,0.384685547,0.347107734,1
55324,ABCF3,1.309758718,1.32937395,1.324114868,-0.430003833,1
9619,ABCG1,-1.800635897,-1.782144993,-1.818273395,-1.996565231,2
9429,ABCG2,0.277988575,0.289758344,0.639011687,-1.372593292,1
64137,ABCG4,-0.944966671,-1.405406906,-1.468612766,-0.945975003,2
64240,ABCG5,-1.198095697,-1.178899744,-0.859836088,1.381329375,2
64241,ABCG8,0.845860434,1.135657802,0.451301811,-0.794495906,1
84696,ABHD1,2.291616252,1.96887199,1.515566081,2.330453459,1
55347,ABHD10,0.553738657,0.574611335,0.559563968,0.577577206,1
83451,ABHD11,0.390945484,-0.447699143,-0.462673158,0.368267069,2
26090,ABHD12,0.612275485,0.634535162,0.627634254,0.526610101,1
84945,ABHD13,-0.860396552,-0.854601948,-0.874825541,-0.049318974,2
84836,ABHD14B,1.211870258,1.211640068,1.218432043,0.39391046,1
116236,ABHD15,-2.054622062,-1.85103655,-1.714622035,-0.002241166,2
7920,ABHD16A,0.373586775,0.372240917,0.360625534,-1.313661002,1
51104,ABHD17B,0.17955904,0.200015066,0.198200481,0.176566887,1
58489,ABHD17C,-1.385953583,-1.38669645,-1.07880077,-1.055886134,2
11057,ABHD2,-1.161270471,-1.487436764,-1.512427224,-0.661318913,2
171586,ABHD3,-0.503374556,-0.979079442,0.428534191,0.375978244,2
63874,ABHD4,-0.808096592,-1.129896611,-0.822318788,-1.157893218,2
51099,ABHD5,0.476474427,0.497787116,0.485738439,0.478695662,1
57406,ABHD6,0.264449006,0.282448963,0.27213522,0.236863634,1
79575,ABHD8,-1.215263716,-1.214618992,0.044237061,-1.164001925,2
10006,ABI1,0.610069135,0.626568134,0.615434349,0.069001372,1
10152,ABI2,0.673461173,0.685444521,0.66717507,0.672802654,1
51225,ABI3,0.499219074,0.479919658,0.27293568,0.057807469,1
25890,ABI3BP,1.127295729,1.148059577,1.149014175,-0.840893971,1
25,ABL1,-1.858169304,-1.845574947,-1.903732451,-0.70148836,2
27,ABL2,-1.405101521,-1.390796506,-1.221530014,0.617571298,2
3983,ABLIM1,-1.575944093,-1.78592703,-1.62667316,-1.193181577,2
84448,ABLIM2,-1.927664843,-1.911606164,-2.197497144,-0.853107536,2
22885,ABLIM3,0.091746347,0.112564281,0.268335738,-1.473614271,1
29,ABR,-2.19700861,-2.180342541,-1.818807252,-2.415381056,2
137735,ABRA,1.962827678,1.981885704,1.989461548,0.617644519,1
58527,ABRACL,0.25894656,0.275933781,0.323717073,0.291153076,1
80325,ABTB1,0.077358722,0.089372126,0.930217534,-0.044377183,1
25841,ABTB2,0.170166444,-0.081155726,-0.341886349,-2.11523044,2
30,ACAA1,-0.26872357,0.588854373,0.578948856,0.533469828,1
31,ACACA,-1.343979573,-1.325158972,-1.232201068,-1.157182413,2
32,ACACB,-1.354732931,-1.60494799,-1.636425706,-0.503544714,2
80724,ACAD10,-0.679009943,-0.175941742,-0.205845349,0.189764448,2
84129,ACAD11,0.304150525,-0.165412491,-0.39585374,1.320110096,2
27034,ACAD8,1.293975106,1.31364349,1.276830306,-0.337291089,1
28976,ACAD9,-1.006081668,-0.498454654,-0.547470059,-0.478890841,2
33,ACADL,0.452143115,0.47342778,0.470490767,0.377972811,1
34,ACADM,0.133597305,0.154527326,0.133285344,0.09765177,1
35,ACADS,-1.189009774,-1.177355519,-2.291400061,-1.707247624,2
36,ACADSB,-0.16232886,-0.144084442,-0.166201741,-0.568668736,1
23527,ACAP2,-1.192227779,-1.176675087,-1.206148271,-0.525458764,2
38,ACAT1,0.408111588,0.428684457,0.389213446,0.447016014,1
39,ACAT2,-0.592927338,-0.576735378,-0.598477671,1.551313014,2
64746,ACBD3,-0.025460131,-0.007151416,-0.017038961,-1.003489038,1
79777,ACBD4,0.578028734,0.576653881,0.511066247,2.410152722,1
91452,ACBD5,-0.868553506,-0.848957,-0.86617616,-1.74835639,2
84320,ACBD6,-0.159176044,-0.138919462,-0.16548479,-0.375980712,1
414149,ACBD7,0.355607928,0.375322046,0.390457996,0.362674287,1
