,5132_kneaddata_Abundance,5145_kneaddata_Abundance,5188_kneaddata_Abundance,5210_kneaddata_Abundance,5401_kneaddata_Abundance,5406_kneaddata_Abundance,5409_kneaddata_Abundance,5411_kneaddata_Abundance,5414_kneaddata_Abundance,5136_kneaddata_Abundance,5140_kneaddata_Abundance,5141_kneaddata_Abundance,5192_kneaddata_Abundance,5194_kneaddata_Abundance,5403_kneaddata_Abundance,5404_kneaddata_Abundance,193_kneaddata_Abundance,179_kneaddata_Abundance,180_kneaddata_Abundance,181_kneaddata_Abundance,183_kneaddata_Abundance,184_kneaddata_Abundance,189_kneaddata_Abundance,190_kneaddata_Abundance,176_kneaddata_Abundance,185_kneaddata_Abundance,981_kneaddata_Abundance,984_kneaddata_Abundance
ENSMUSG00000000001,4.855034773,4.979973271,4.939930485,5.415674072,5.367755856,5.365419699,5.221754303,4.865576625,4.90322474,5.290115295,4.729030698,5.26569464,4.874878696,5.458461928,4.928998489,4.928228502,5.082825095,4.738610094,4.886817848,4.522450946,5.001087646,5.275531037,5.003824019,4.854280663,4.450254758,4.821785148,5.080575065,5.244977718
ENSMUSG00000000028,4.887824709,4.780664463,4.439032249,4.619207466,4.547305276,4.586018838,4.630717288,4.567495272,4.708408563,4.949078377,3.968701111,4.731870989,4.975572696,3.472961498,4.519354249,4.366349614,4.396933686,4.489250625,3.646990833,3.504963519,4.408511961,4.561835222,4.070938215,4.321157094,3.75588104,4.413320303,4.680037136,4.524360118
ENSMUSG00000000056,5.098591805,5.182281446,5.629975032,4.401027296,5.058805615,5.390294368,5.761564768,5.931378683,5.609493537,5.880131024,5.409273702,5.295138418,5.794460014,5.398960916,4.643089617,5.234559742,5.564533634,5.065110919,5.493281418,6.023928461,5.350095275,5.344243787,5.851820926,5.848404096,5.340843541,5.550823827,5.39373295,5.632000842
ENSMUSG00000000058,3.769643282,4.463182273,4.202964891,4.71705479,4.547305276,4.709754207,4.701975971,4.519400984,4.355736945,4.650997024,3.968701111,4.932568339,4.942782761,4.711748357,4.896208554,4.27171274,4.478233788,3.80572429,4.282226541,4.337236074,4.698018578,4.114376245,4.220315839,4.653233144,3.99688914,4.740485046,4.473586258,3.929201851
ENSMUSG00000000078,5.974333702,6.003056884,6.905868649,6.493676584,6.570145252,6.396446595,6.774019766,6.972148289,6.763821683,6.621126495,6.266880603,6.400491418,6.644497508,6.451157127,6.317451203,6.202850882,6.225047168,6.074213126,6.345067414,6.610935888,6.138591169,5.998352449,6.720031053,6.663310216,5.551950155,6.496146734,6.185928065,6.627278431
ENSMUSG00000000085,5.354605783,5.496096896,5.014892543,5.606496415,5.958500709,4.962873144,5.292720825,5.351003452,5.388651567,5.095299118,5.068236785,4.969562546,5.394657028,5.597289633,5.082621678,5.737797845,5.468318319,5.300488982,5.368526387,5.366580035,5.251411,5.251879769,5.366394098,5.458660617,5.709230947,5.944843545,5.4624457,5.740935213
ENSMUSG00000000088,8.550363078,8.291001298,8.589162708,8.30398684,8.165143933,8.629760302,8.388982678,8.458531916,8.265583883,8.538841864,8.545050481,8.50970285,8.734656696,8.423429912,8.588974344,8.041914664,8.249858923,8.598958104,8.235785196,8.326076366,8.594881713,8.656071292,8.623851787,8.248272717,8.725228313,8.051920767,8.502427386,8.42853888
ENSMUSG00000000127,4.678877818,4.707601001,4.593754844,4.976142011,5.101240881,4.628454105,4.701975971,5.04614887,4.399458322,4.553149701,4.953904109,5.005631801,4.942782761,4.895194498,4.896208554,5.157254016,4.697800165,4.594220185,4.535345478,4.992901566,4.264122051,4.482763651,5.083994368,4.598266685,4.794700289,4.89874713,5.271397407,4.944468607
ENSMUSG00000000131,6.461939827,6.57524078,6.333163614,6.675060701,6.492562311,6.371678689,6.541255661,6.619751509,6.457490443,6.312716724,6.180539754,6.427333031,6.077268093,6.705622255,6.458889607,6.42798868,6.443227338,6.195958399,6.257308908,6.561039444,6.295418182,6.487834641,6.261122055,6.485413345,6.478347065,6.637585139,6.445571882,6.175512899
ENSMUSG00000000134,5.863302389,5.31117918,5.505527661,5.752101737,5.887534188,5.699838738,5.675664694,5.294969417,5.431401214,5.406760214,5.513862604,5.536146518,5.830756143,5.42901815,5.613136395,5.737797845,5.468318319,5.419541654,5.623783442,5.385816254,5.464655039,5.366439533,5.638306656,5.443147618,5.392373842,5.729992672,5.570159518,5.493554072
