ID	Species	Batch	Species.Batch
X917	Human	A	Human.A
X918	Human	A	Human.A
X908	Human	A	Human.A
X923	Human	A	Human.A
X874	Human	A	Human.A
X921	Human	A	Human.A
X590	Human	A	Human.A
X890	Human	B	Human.B
X586	Human	B	Human.B
X919	Human	B	Human.B
X915	Human	B	Human.B
X892	Human	B	Human.B
X891	Human	B	Human.B
X552	Human	B	Human.B
X916	Human	B	Human.B
X5136	Squirrel.Monkey	C	Squirrel.Monkey.C
X5140	Squirrel.Monkey	C	Squirrel.Monkey.C
X5141	Squirrel.Monkey	C	Squirrel.Monkey.C
X984	Squirrel.Monkey	C	Squirrel.Monkey.C
X145	Squirrel.Monkey	D	Squirrel.Monkey.D
X210	Squirrel.Monkey	D	Squirrel.Monkey.D
X132	Squirrel.Monkey	D	Squirrel.Monkey.D
X981	Squirrel.Monkey	D	Squirrel.Monkey.D
X409	Macaque	E	Macaque.E
X5194	Macaque	E	Macaque.E
X411	Macaque	E	Macaque.E
X5192	Macaque	E	Macaque.E
X414	Macaque	E	Macaque.E
X401	Macaque	F	Macaque.F
X5408	Macaque	F	Macaque.F
X189	Macaque	F	Macaque.F
X5404	Macaque	F	Macaque.F
X188	Macaque	F	Macaque.F
X406	Macaque	F	Macaque.F
X5403	Macaque	F	Macaque.F
