Sample Name	% Dups	% GC	M Seqs
P1A05-5404-PFC_S81_L001_R1_001	14.50%	44%	1.7
P1B04-5194-PFC_S74_L001_R1_001	14.50%	45%	1.2
P1A05-5404-PFC_S81_L002_R1_001	14.60%	44%	1.7
P1B04-5194-PFC_S74_L002_R1_001	14.70%	45%	1.2
P1A04-409-PFC_S73_L002_R1_001	14.80%	44%	1.7
P1A04-409-PFC_S73_L001_R1_001	14.90%	44%	1.7
P1H04-189-PFC_S80_L001_R1_001	15.40%	44%	1.9
P1H04-189-PFC_S80_L002_R1_001	15.40%	44%	1.9
P1E03-145-PFC_S69_L001_R1_001	16.20%	44%	1.7
P1E03-145-PFC_S69_L002_R1_001	16.20%	44%	1.7
P1E04-414-PFC_S77_L002_R1_001	16.30%	45%	1.7
P1E04-414-PFC_S77_L001_R1_001	16.40%	45%	1.7
P1A02-890-PFC_S57_L001_R1_001	16.80%	44%	1.3
P1C04-411-PFC_S75_L002_R1_001	16.80%	45%	1.4
P1D03-984-PFC_S68_L001_R1_001	16.80%	44%	1.7
P1A02-890-PFC_S57_L002_R1_001	16.90%	44%	1.3
P1C04-411-PFC_S75_L001_R1_001	16.90%	45%	1.4
P1C01-918-PFC_S51_L001_R1_001	17.00%	42%	2.5
P1D03-984-PFC_S68_L002_R1_001	17.00%	44%	1.7
P1D05-5403-PFC_S84_L002_R1_001	17.00%	45%	1.6
P1C01-918-PFC_S51_L002_R1_001	17.10%	42%	2.5
P1D05-5403-PFC_S84_L001_R1_001	17.10%	45%	1.6
P1A03-5136-PFC_S65_L001_R1_001	17.20%	43%	1.4
P1A03-5136-PFC_S65_L002_R1_001	17.20%	43%	1.4
P1A01-917-PFC_S50_L001_R1_001	17.30%	44%	1.8
P1A01-917-PFC_S50_L002_R1_001	17.30%	44%	1.8
P1G01-921-PFC_S55_L001_R1_001	17.30%	43%	1.6
P1G01-921-PFC_S55_L002_R1_001	17.40%	43%	1.6
P1F03-210-PFC_S70_L001_R1_001	17.50%	44%	1.4
P1H01-590-PFC_S56_L001_R1_001	17.50%	43%	1.9
P1H01-590-PFC_S56_L002_R1_001	17.50%	43%	1.9
P1B05-188-PFC_S82_L002_R1_001	17.60%	45%	1.4
P1C03-5141-PFC_S67_L001_R1_001	17.60%	44%	1.4
P1F03-210-PFC_S70_L002_R1_001	17.60%	44%	1.4
P1B05-188-PFC_S82_L001_R1_001	17.70%	45%	1.4
P1C03-5141-PFC_S67_L002_R1_001	17.80%	44%	1.4
P1F01-874-PFC_S54_L001_R1_001	17.90%	44%	1.7
P1F01-874-PFC_S54_L002_R1_001	18.00%	43%	1.7
P1B02-586-PFC_S58_L001_R1_001	18.10%	42%	2.3
P1C02-919-PFC_S59_L001_R1_001	18.10%	42%	2.4
P1C02-919-PFC_S59_L002_R1_001	18.20%	42%	2.4
P1B02-586-PFC_S58_L002_R1_001	18.40%	42%	2.3
P1D04-5192-PFC_S76_L001_R1_001	18.40%	45%	1.6
P1D04-5192-PFC_S76_L002_R1_001	18.40%	45%	1.6
P1C05-406-PFC_S83_L001_R1_001	18.60%	44%	1.6
P1C05-406-PFC_S83_L002_R1_001	18.70%	44%	1.6
P1F02-891-PFC_S62_L001_R1_001	18.80%	43%	2.2
P1F02-891-PFC_S62_L002_R1_001	19.00%	42%	2.2
P1H03-981-PFC_S72_L001_R1_001	19.20%	45%	1.8
P1H03-981-PFC_S72_L002_R1_001	19.20%	45%	1.7
P1G02-552-PFC_S63_L001_R1_001	19.90%	44%	1.6
P1G02-552-PFC_S63_L002_R1_001	20.10%	44%	1.6
P1E02-892-PFC_S61_L001_R1_001	20.20%	43%	2.1
P1E02-892-PFC_S61_L002_R1_001	20.20%	43%	2.1
P1G04-5408-PFC_S79_L001_R1_001	20.30%	45%	1.9
P1G04-5408-PFC_S79_L002_R1_001	20.30%	45%	1.8
P1G03-132-PFC_S71_L001_R1_001	20.70%	45%	1.9
P1G03-132-PFC_S71_L002_R1_001	20.70%	45%	1.9
P1D02-915-PFC_S60_L001_R1_001	21.40%	45%	1.8
P1D02-915-PFC_S60_L002_R1_001	21.40%	45%	1.8
P1E01-923-PFC_S53_L001_R1_001	21.40%	45%	2.1
P1E01-923-PFC_S53_L002_R1_001	21.40%	45%	2.1
P1B03-5140-PFC_S66_L001_R1_001	21.50%	43%	2
P1B03-5140-PFC_S66_L002_R1_001	21.50%	43%	2
P1H02-916-PFC_S64_L001_R1_001	22.40%	46%	2
P1H02-916-PFC_S64_L002_R1_001	22.40%	46%	2
P1F04-401-PFC_S78_L002_R1_001	23.20%	45%	1.4
P1F04-401-PFC_S78_L001_R1_001	23.30%	45%	1.4
P1D01-908-PFC_S52_L002_R1_001	24.30%	46%	2
P1D01-908-PFC_S52_L001_R1_001	24.50%	46%	2.1
