ID,reads,mapping_rate
X5408,2345200,0.75
X5403,2180235,0.78
X552,1974789,0.76
X411,1976106,0.75
X917,2383092,0.78
X891,2745985,0.76
X132,2315388,0.73
X406,2084114,0.78
X5404,2394825,0.71
X414,2396206,0.74
X5140,2387442,0.75
X984,2282983,0.76
X5194,1727216,0.74
X401,1666412,0.7
X916,2344122,0.78
X981,2246533,0.74
X188,1840956,0.76
X919,3049063,0.75
X145,2373931,0.69
X586,2907233,0.75
X918,3230678,0.72
X892,2635817,0.78
X189,2581183,0.72
X890,1749531,0.77
X908,2329649,0.77
X915,2208970,0.78
X409,2350303,0.76
X5192,2086658,0.77
X5136,1830441,0.76
X5141,1906603,0.77
X590,2521801,0.73
X210,1840930,0.72
X874,2150806,0.74
X923,2543510,0.77
X921,2075871,0.7
